,total,0,10,15,20,25,30,35,40,45,50,60,75,100,125,150,200,ZIP,year,State,CountyName,rent0,rent1,rent2,rent3,rent4
47,29857,6342,3194,2358,1651,2019,1828,1630,1230,1064,2213,2113,1918,1123,548,429,197,11212,2012,36,Kings County,940,1030,1180,1490,1800
48,23229,3921,2294,1442,1393,1234,1222,1433,1277,876,1734,1910,2043,960,678,531,281,11213,2012,36,Kings County,940,1030,1180,1490,1800
49,30214,2685,2365,1895,1803,2318,1858,1758,1654,1131,2469,2886,2860,1918,1146,968,500,11214,2012,36,Kings County,1000,1090,1250,1580,1910
50,28558,1259,746,667,711,393,827,648,913,898,1977,2560,3588,3078,2398,3168,4727,11215,2012,36,Kings County,1500,1640,1870,2360,2860
51,22780,3219,1811,1212,1236,1203,1326,880,1362,1009,1821,2270,2156,1364,782,665,464,11216,2012,36,Kings County,970,1060,1210,1530,1850
52,16624,1303,673,607,616,730,562,461,465,379,1045,1169,1745,1556,1267,1671,2375,11217,2012,36,Kings County,1430,1570,1790,2260,2730
53,24853,1911,1807,1490,1571,1127,1319,842,1043,887,1490,2583,3153,1863,1149,1463,1155,11218,2012,36,Kings County,1100,1200,1370,1730,2090
54,26693,2465,2596,2194,2240,1944,2040,1501,1428,1028,1727,2170,2032,1342,771,724,491,11219,2012,36,Kings County,1030,1130,1290,1630,1970
55,30235,3318,2582,2228,2418,2094,1450,1399,1772,1205,2085,2988,2586,1851,810,747,702,11220,2012,36,Kings County,1050,1150,1310,1650,2000
56,27635,4493,1939,2078,1770,1818,1055,1254,1171,1356,2044,2805,2446,1453,834,758,361,11221,2012,36,Kings County,1010,1100,1260,1590,1920
57,16156,1355,773,663,610,653,867,501,625,458,1183,1894,2461,1381,933,1039,760,11222,2012,36,Kings County,1150,1260,1440,1820,2200
58,26973,2430,1868,1686,2019,1635,1819,1705,1634,1037,2218,2385,2479,1597,859,800,802,11223,2012,36,Kings County,1010,1100,1260,1590,1920
59,18475,3292,1959,1147,1494,1071,1020,800,1105,581,1423,1330,1236,780,573,419,245,11224,2012,36,Kings County,760,830,950,1200,1450
60,23106,2429,1726,1562,1497,1460,1473,1278,1261,905,2116,2236,2079,1083,818,660,523,11225,2012,36,Kings County,940,1030,1180,1490,1800
61,36134,4286,2730,2437,2001,2110,2622,1801,2110,1519,3384,3622,3317,1951,841,880,523,11226,2012,36,Kings County,980,1080,1230,1550,1880
62,14935,638,763,798,614,761,811,668,468,564,1285,1372,1793,1405,1038,1092,865,11228,2012,36,Kings County,1110,1220,1390,1750,2120
63,30668,3160,2200,1637,1886,1255,1431,1276,1402,1185,2141,2752,3437,2483,1875,1572,976,11229,2012,36,Kings County,1010,1100,1260,1590,1920
64,29783,3882,2126,2187,1487,1636,1599,1294,1202,756,2304,2940,2881,2162,1111,1195,1021,11230,2012,36,Kings County,1070,1170,1340,1690,2050
65,15336,1514,820,459,645,572,451,476,345,460,959,1195,1684,1477,1159,1244,1876,11231,2012,36,Kings County,1600,1750,2000,2520,3050
66,8882,904,458,517,703,617,641,544,509,344,560,815,1044,450,460,188,128,11232,2012,36,Kings County,1100,1200,1370,1730,2090
