,total,0,10,15,20,25,30,35,40,45,50,60,75,100,125,150,200,ZIP,year,state,CountyName,rent0,rent1,rent2,rent3,rent4,Rent_Mean
19,27089,4485,2010,1894,1755,1740,1188,1252,1279,1300,2016,2666,2293,1389,901,693,228,11221,2011,36,Kings County,1040,1110,1250,1550,1720,1334.0
20,16069,1404,748,635,716,662,828,602,799,471,1098,1756,2572,1371,849,891,667,11222,2011,36,Kings County,1180,1260,1420,1760,1950,1514.0
21,26837,2325,1897,1625,2012,1778,1883,1693,1439,1074,2266,2434,2538,1509,911,704,749,11223,2011,36,Kings County,1040,1110,1250,1550,1720,1334.0
22,18734,3339,1858,1170,1432,1135,1105,831,1150,628,1438,1289,1433,702,644,351,229,11224,2011,36,Kings County,1040,1110,1250,1550,1720,1334.0
23,23059,2468,1694,1324,1683,1410,1427,1429,1292,958,2050,2226,2110,977,795,745,471,11225,2011,36,Kings County,1040,1110,1250,1550,1720,1334.0
24,36367,4522,2525,2452,2097,2206,2716,1869,1911,1616,3355,3635,3462,1781,867,857,496,11226,2011,36,Kings County,1040,1110,1250,1550,1720,1334.0
25,14973,706,770,783,663,888,769,547,666,462,1274,1515,1798,1289,1152,1037,654,11228,2011,36,Kings County,1140,1210,1370,1700,1880,1460.0
26,29950,3286,2009,1544,2077,1280,1421,1181,1367,1136,2011,2746,3357,2237,1734,1569,995,11229,2011,36,Kings County,1040,1110,1250,1550,1720,1334.0
27,30012,4031,1983,2102,1641,1549,1490,1187,1298,1022,2229,2868,2970,2253,1318,1100,971,11230,2011,36,Kings County,1100,1170,1320,1640,1810,1408.0
28,15281,1339,1072,434,589,600,354,413,390,393,1050,1239,1711,1530,1091,1243,1833,11231,2011,36,Kings County,1640,1740,1970,2440,2700,2098.0
29,8658,1012,322,663,717,565,632,501,495,306,564,854,958,455,267,169,178,11232,2011,36,Kings County,1120,1190,1350,1670,1850,1436.0
30,25595,5154,2182,1626,1274,1405,1226,1337,1364,1094,1956,1575,2333,1207,808,536,518,11233,2011,36,Kings County,1040,1110,1250,1550,1720,1334.0
31,31874,1900,969,1179,1387,1243,1303,1314,1414,1057,2441,2980,4625,3780,2266,2401,1615,11234,2011,36,Kings County,1190,1260,1430,1770,1960,1522.0
32,30792,4819,2296,1517,1567,1885,1616,1055,1168,1085,1878,2194,3506,2209,1318,1511,1168,11235,2011,36,Kings County,1040,1110,1250,1550,1720,1334.0
33,31109,2492,996,1235,1119,1380,1422,1236,1107,1670,2469,3593,4950,2993,1872,1732,843,11236,2011,36,Kings County,1170,1250,1410,1750,1930,1502.0
34,22826,2050,1133,992,981,868,973,989,844,719,1591,2134,3063,1944,1634,1593,1318,11238,2011,36,Kings County,1200,1270,1440,1780,1980,1534.0
35,6436,1492,808,734,259,399,333,183,305,366,483,547,319,85,37,30,56,11239,2011,36,Kings County,1040,1110,1250,1550,1720,1334.0
