,bath,bed,furnished,price,size,street,where
121,1 bath,2 beds,0,"$4,550","1,117 ft²",65 Ainslie Street #512,Williamsburg
122,1 bath,2 beds,0,"$1,899",,1244 Herkimer Street #A1,
123,1 bath,2 beds,0,"$2,350","1,000 ft²",62 Clermont Avenue #601,Fort Greene
124,1 bath,3 beds,0,"$2,900",,23 Meserole #3F,Williamsburg
125,1 bath,2 beds,0,"$1,800",,619  East 82nd Street #2,
126,1 bath,1 bed,0,"$2,800",650 ft²,10 City Point #21B,
127,1 bath,1 bed,0,"$3,000",,185 South 4th Street #4C,Williamsburg
128,1 bath,2 beds,0,"$2,800",,187 S Portland Avenue #B,Fort Greene
129,1 bath,1 bed,0,"$2,100",450 ft²,412 2nd Street #4R,Park Slope
130,1.5 baths,2 beds,0,"$4,000",,36 Hicks Street #2,Brooklyn Heights
131,1 bath,2 beds,0,"$1,900",,985 Ocean Avenue #4A,
132,1 bath,1 bed,0,"$2,000",500 ft²,14 Willoughby Avenue #3,Fort Greene
133,1.5 baths,3 beds,0,"$2,950",,786 Jefferson Avenue #1,
134,1 bath,1 bed,0,"$1,650",,163 Veronica Place #2F1,
135,1 bath,1 bed,0,"$1,650",,163 Veronica Place #2R1,
136,1 bath,2 beds,0,"$1,899",,575 Saint Johns Place #4R,
137,1 bath,1 bed,0,"$1,999",800 ft²,250 Gates Avenue #2,Bedford-Stuyvesant
138,1 bath,2 beds,0,"$2,200",,820 Saint Johns Place #2R,
139,1 bath,1 bed,0,"$2,450",,473 Park Place #4C,
140,1 bath,,0,"$3,110",,250 Ashland Place #41FF,Fort Greene
141,2 baths,3 beds,0,"$3,300",,287 Harman Street #3R,Bushwick
142,1 bath,2 beds,0,"$2,200",,716 Nostrand Avenue #3B,
143,1 bath,1 bed,0,"$1,600",,670A Greene Avenue #3A,
144,1 bath,2 beds,0,"$2,400",,716 Nostrand Avenue #1F,
145,1 bath,2 beds,0,"$2,495",925 ft²,250 Gates Avenue #1,Bedford-Stuyvesant
146,1.5 baths,4 beds,0,"$3,900",,353 Grove Street #1L,Bushwick
147,1.5 baths,3 beds,0,"$3,100",,1493 Gates Avenue #1R,Bushwick
148,1 bath,3 beds,0,"$2,750",,853 Saint Johns Place #3L,
149,2 baths,4 beds,0,"$2,500",,1816 Nostrand Avenue #3,
150,1 bath,1.5 beds,0,"$3,950",,101 Bedford #A513,Williamsburg
151,2 baths,2 beds,0,"$2,250",,801 Avenue H #1,
152,1 bath,3 beds,0,"$2,362",,684 Central Avenue #3L,Bushwick
153,1 bath,3 beds,0,"$2,362",,684 Central Avenue #2R,Bushwick
154,1.5 baths,2 beds,0,"$2,625",,55-27 Myrtle Avenue #305,Bushwick
155,1 bath,1 bed,0,"$2,560",,273 Henry Street #8,Brooklyn Heights
156,1 bath,3 beds,0,"$2,362",,684 Central Avenue #2L,Bushwick
157,1 bath,4 beds,0,"$4,499",,2715 Farragut Road #1,
158,1.5 baths,3 beds,0,"$5,194",,194 Montrose Avenue #1L,Williamsburg
159,1 bath,4 beds,0,"$3,599",,1073 Bedford Avenue #4A,Bedford-Stuyvesant
160,1 bath,4 beds,0,"$3,599",,1073 Bedford Avenue #2B,Bedford-Stuyvesant
161,2 baths,4 beds,0,"$3,999",,897 Saint Johns Place #3L,
162,1 bath,2 beds,0,"$2,899",,87 Montrose Avenue #3L,Williamsburg
163,2 baths,3 beds,0,"$2,935",,372 Saint Johns Place #42,Prospect Heights
164,1 bath,,0,"$1,600",,547 Nostrand Avenue #1,Bedford-Stuyvesant
165,1 bath,,0,"$1,300",,1776 Bedford #32B,
166,2 baths,2 beds,0,"$3,500","1,600 ft²",405 Clermont Avenue #G,Fort Greene
167,1 bath,1 bed,0,"$1,999",750 ft²,571 East 19th Street #4A,
168,1 bath,2 beds,0,"$2,250",,45 Cedar Street #4A,Bushwick
169,1 bath,1 bed,0,"$2,700",,22 Caton Place #6A,
170,1 bath,3 beds,0,"$2,550",,524 Jefferson Avenue #1,
171,2 baths,3 beds,0,"$2,150",,230 Saratoga Avenue #2,
172,1 bath,1 bed,0,"$2,750",800 ft²,149 Sterling Place #PARLOR,Park Slope
173,2 baths,2 beds,0,"$2,550",,968 60th Street #206,
174,1 bath,2 beds,0,"$1,900",800 ft²,1367 Park Place #2,
175,2 baths,3 beds,0,"$2,300","1,250 ft²",1745 East 8th Street #6A,
176,1 bath,2 beds,0,"$4,235",,189 Sterling Place #7A,Prospect Heights
177,1 bath,3 beds,0,"$2,695","1,000 ft²",671 Evergreen Avenue #2,Bushwick
178,1 bath,2 beds,0,"$2,000",800 ft²,1367 Park Place #1,
