,total,0,10,15,20,25,30,35,40,45,50,60,75,100,125,150,200,ZIP,year,State,CountyName,rent0,rent1,rent2,rent3,rent4
74,19620,2001,1218,1104,968,1398,1118,673,787,833,1518,1707,2515,1518,846,836,580,11354,2012,36,Queens County,1200,1310,1500,1890,2290
75,28672,3100,1507,1982,1958,1784,1639,1471,1502,1069,2551,2760,2793,1836,1160,860,700,11355,2012,36,Queens County,1140,1250,1430,1800,2180
76,7516,283,170,194,506,421,291,330,485,478,631,1003,971,647,312,430,364,11356,2012,36,Queens County,1340,1470,1680,2120,2570
77,15078,442,508,604,664,554,641,584,648,336,995,1408,2064,1781,1314,1465,1070,11357,2012,36,Queens County,1400,1530,1750,2210,2670
78,13599,765,543,412,615,608,683,467,354,498,1096,1399,1739,1538,830,1106,946,11358,2012,36,Queens County,1260,1380,1580,1990,2410
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11359,2012,36,Queens County,1150,1260,1440,1820,2200
80,8816,530,114,346,410,200,265,397,399,236,538,881,1110,1079,733,867,711,11360,2012,36,Queens County,1620,1780,2030,2560,3100
81,10547,476,334,508,450,455,314,485,296,452,700,871,1504,1288,884,986,544,11361,2012,36,Queens County,1320,1440,1650,2080,2520
82,6998,287,199,343,284,301,179,152,290,106,489,558,976,882,712,530,710,11362,2012,36,Queens County,1340,1470,1680,2120,2570
83,2679,63,46,39,95,90,153,13,184,54,118,157,487,274,208,288,410,11363,2012,36,Queens County,1200,1310,1500,1890,2290
84,13495,686,379,557,566,535,592,507,482,298,1054,1279,2223,1766,920,928,723,11364,2012,36,Queens County,1330,1450,1660,2090,2530
85,15241,1121,704,736,799,722,855,932,451,663,1074,1468,2266,1543,691,659,557,11365,2012,36,Queens County,1180,1300,1480,1870,2260
86,4372,295,148,75,128,124,226,151,216,100,250,438,531,429,342,494,425,11366,2012,36,Queens County,1140,1240,1420,1790,2170
87,14353,1375,816,642,928,545,627,465,847,490,1062,1370,1803,1326,786,759,512,11367,2012,36,Queens County,1080,1180,1350,1700,2060
88,27854,1980,1468,1712,1871,2177,1545,1246,1528,1411,2573,3131,3496,1763,702,813,438,11368,2012,36,Queens County,1180,1300,1480,1870,2260
89,11230,588,558,544,671,548,620,698,516,452,911,1410,1553,824,589,440,308,11369,2012,36,Queens County,1280,1400,1600,2020,2440
90,8746,715,364,446,467,431,305,525,440,455,757,712,1131,664,499,496,339,11370,2012,36,Queens County,1260,1380,1580,1990,2410
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11371,2012,36,Queens County,1150,1260,1440,1820,2200
92,24051,1932,1225,1488,1413,1226,1738,1341,1203,986,1966,2683,3074,1644,875,705,552,11372,2012,36,Queens County,1080,1180,1350,1700,2060
93,31661,2483,1889,2117,2314,2013,1677,1799,1549,1378,2770,3440,3328,2132,1047,927,798,11373,2012,36,Queens County,1140,1240,1420,1790,2170
94,19255,1458,1126,754,1124,756,1103,646,1083,792,1656,1831,2422,1551,1143,1018,792,11374,2012,36,Queens County,1180,1290,1470,1850,2240
95,32043,1964,941,1298,1174,991,1134,904,1221,1257,2428,3196,4328,3275,2311,2965,2656,11375,2012,36,Queens County,1260,1380,1580,1990,2410
96,32069,1906,1651,1628,1571,1968,2070,1757,1843,1857,2630,3627,3826,2588,1277,1050,820,11377,2012,36,Queens County,1130,1230,1410,1780,2150
97,12405,797,596,495,458,628,540,571,779,501,1061,1640,1937,825,644,587,346,11378,2012,36,Queens County,1140,1240,1420,1790,2170
98,13579,769,572,655,613,669,644,399,613,453,745,1264,1893,1604,1151,857,678,11379,2012,36,Queens County,1180,1290,1470,1850,2240
99,34525,2746,1929,2056,2273,1765,1583,1444,1475,1587,2571,3898,4689,2917,1291,1385,916,11385,2012,36,Queens County,1100,1210,1380,1740,2110
100,6189,129,130,107,204,195,285,96,259,210,482,797,929,740,577,776,273,11411,2012,36,Queens County,1070,1170,1340,1690,2050
101,11036,525,221,443,491,531,409,444,451,358,747,1205,1776,1330,796,903,406,11412,2012,36,Queens County,1100,1210,1380,1740,2110
102,11984,332,397,349,433,393,327,290,561,605,818,1207,1954,1550,1106,1179,483,11413,2012,36,Queens County,1400,1530,1750,2210,2670
103,11261,433,532,507,418,397,570,480,541,482,804,1077,1834,1048,657,735,746,11414,2012,36,Queens County,1280,1400,1600,2020,2440
104,8433,376,327,376,410,222,327,494,481,344,847,1026,1065,675,471,678,314,11415,2012,36,Queens County,1130,1230,1410,1780,2150
105,6920,433,233,327,467,332,310,370,307,353,742,762,910,463,335,332,244,11416,2012,36,Queens County,1220,1340,1530,1930,2340
106,9180,711,458,303,412,313,291,397,414,346,888,1022,1237,925,717,484,262,11417,2012,36,Queens County,1150,1260,1440,1820,2200
107,11020,626,418,500,416,401,701,420,524,257,1394,1238,1636,1048,539,639,263,11418,2012,36,Queens County,1140,1240,1420,1790,2170
108,12405,650,551,609,732,750,813,625,605,439,900,1363,1686,972,672,686,352,11419,2012,36,Queens County,1190,1300,1490,1880,2280
109,13508,660,429,643,745,570,859,635,519,561,1058,1337,1985,1306,816,728,657,11420,2012,36,Queens County,1230,1350,1540,1940,2350
110,12135,656,512,556,737,572,559,580,721,533,876,1200,1696,998,707,822,410,11421,2012,36,Queens County,1150,1260,1440,1820,2200
111,9738,226,207,170,165,406,283,412,495,384,488,958,1754,1315,992,968,515,11422,2012,36,Queens County,1420,1560,1780,2240,2720
112,9792,546,337,514,451,367,492,331,525,560,632,976,1169,992,702,647,551,11423,2012,36,Queens County,1070,1170,1340,1690,2050
113,5936,230,81,136,120,219,84,249,265,163,486,765,956,747,442,606,387,11426,2012,36,Queens County,1270,1390,1590,2000,2430
114,7920,213,273,281,344,346,347,263,359,291,702,826,1120,1005,554,513,483,11427,2012,36,Queens County,1050,1150,1310,1650,2000
115,5817,152,129,178,273,226,220,299,370,175,373,708,863,658,550,399,244,11428,2012,36,Queens County,1110,1220,1390,1750,2120
116,7568,427,356,207,317,215,289,174,354,229,626,820,1165,777,632,695,285,11429,2012,36,Queens County,1150,1260,1440,1820,2200
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11430,2012,36,Queens County,1150,1260,1440,1820,2200
