	dropoff_latitude	dropoff_longitude	dropoff_datetime	pickup_datetime	pickup_latitude	pickup_longitude	tip_amount	trip_distance
902	40.69282150268555	-73.95164489746094	0030-01-11T18:28:02.000	0030-01-11T18:20:13.000	40.68047332763672	-73.95030975341797	0.0	1.5
906	40.623565673828125	-73.96589660644531	0008-01-04T15:47:48.000	0008-01-04T15:42:49.000	40.649505615234375	-73.9630126953125	0.0	0.77
908	40.717037200927734	-73.9564208984375	0016-01-12T20:03:11.000	0016-01-12T19:54:22.000	40.73434829711914	-73.95498657226562	2.25	1.4
909	40.71883010864258	-73.9566879272461	0021-01-09T15:33:16.000	0021-01-09T15:29:52.000	40.7124137878418	-73.96256256103516	0.0	0.54
921	40.673370361328125	-73.9687271118164	0020-01-08T02:47:32.000	0020-01-08T02:37:32.000	40.68151092529297	-73.99378967285156	0.0	1.66
922	40.768409729003906	-73.98206329345703	0029-01-09T02:43:05.000	0029-01-09T02:18:55.000	40.67848205566406	-73.98155212402344	4.0	7.52
923	40.73866653442383	-73.91864013671875	0007-01-11T05:51:41.000	0007-01-11T05:45:14.000	40.72627639770508	-73.9383316040039	2.12	1.97
924	40.70940017700195	-73.96410369873047	0019-01-05T18:42:12.000	0019-01-05T18:33:00.000	40.720577239990234	-73.95475006103516	1.8	1.43
925	40.74319839477539	-73.9844741821289	0015-01-03T12:42:38.000	0015-01-03T11:59:20.000	40.64926528930664	-73.96346282958984	7.6	11.02
930	40.678741455078125	-73.99315643310547	0001-01-02T21:34:19.000	0001-01-02T21:22:46.000	40.6818733215332	-73.9645767211914	2.62	2.08
931	40.6656608581543	-73.98774719238281	0017-01-11T15:12:53.000	0017-01-11T15:06:22.000	40.67269515991211	-73.9936294555664	0.0	0.77
937	40.661197662353516	-73.98556518554688	0010-01-11T19:48:33.000	0010-01-11T19:25:58.000	40.71002960205078	-73.968505859375	0.0	4.5
938	40.68586349487305	-73.93387603759766	0013-01-12T22:59:16.000	0013-01-12T22:40:41.000	40.73310470581055	-73.95829772949219	2.0	3.9
939	40.756980895996094	-73.97433471679688	0030-01-07T08:07:40.000	0030-01-07T07:44:05.000	40.700706481933594	-73.9903564453125	3.8	4.99
941	40.67547607421875	-73.96336364746094	0002-01-07T22:42:43.000	0002-01-07T22:31:57.000	40.68378829956055	-73.9924545288086	3.15	2.19
943	40.793399810791016	-73.96652221679688	0022-01-07T22:45:12.000	0022-01-07T22:15:42.000	40.68959045410156	-73.97195434570312	0.0	11.12
945	40.773250579833984	-73.87019348144531	0021-01-04T12:44:26.000	0021-01-04T12:27:52.000	40.71760940551758	-73.95792388916016	4.7	7.4
953	40.72629928588867	-74.00410461425781	0016-01-07T10:10:38.000	0016-01-07T09:44:32.000	40.66802215576172	-73.98377990722656	4.1	5.27
960	40.71322250366211	-73.9520034790039	0018-01-04T23:00:52.000	0018-01-04T22:58:56.000	40.7122802734375	-73.9571533203125	0.0	0.4
961	40.77538299560547	-73.95379638671875	0004-01-10T02:37:11.000	0004-01-10T02:17:04.000	40.71435546875	-73.96106719970703	4.0	6.21
962	40.77387237548828	-73.9135971069336	0014-01-09T19:05:34.000	0014-01-09T18:33:59.000	40.67416763305664	-73.99811553955078	0.0	11.72
966	40.6899299621582	-73.95127868652344	0020-01-08T22:44:39.000	0020-01-08T22:37:19.000	40.67576599121094	-73.9686508178711	2.12	1.81
970	40.70990753173828	-73.96416473388672	0003-01-08T02:54:31.000	0003-01-08T02:46:25.000	40.672447204589844	-73.95748138427734	2.2	2.96
971	40.71819305419922	-73.96125793457031	0017-01-08T22:38:16.000	0017-01-08T22:34:36.000	40.7141227722168	-73.95459747314453	0.0	0.57
977	40.70023727416992	-73.98038482666016	0004-01-04T16:21:53.000	0004-01-04T16:13:39.000	40.68317794799805	-73.97415161132812	0.0	1.38
978	40.68487548828125	-73.99919128417969	0010-01-09T16:47:16.000	0010-01-09T16:43:21.000	40.69289779663086	-73.99516296386719	1.1	0.59
980	40.714168548583984	-73.99275970458984	0016-01-11T21:42:44.000	0016-01-11T21:32:10.000	40.71222686767578	-73.95707702636719	2.3	2.43
982	40.66202163696289	-73.98236846923828	0007-01-08T09:40:26.000	0007-01-08T09:35:48.000	40.65028381347656	-73.97870635986328	1.5	1.05
986	40.72378158569336	-73.99647521972656	0006-01-07T15:59:00.000	0006-01-07T15:37:25.000	40.71817398071289	-73.96416473388672	0.0	3.5
988	40.71300506591797	-73.99436950683594	0015-01-02T01:43:38.000	0015-01-02T01:26:22.000	40.719486236572266	-73.94554901123047	0.0	3.32
989	40.72653579711914	-73.95442962646484	0003-01-08T15:42:04.000	0003-01-08T15:38:01.000	40.71834182739258	-73.95718383789062	1.0	0.77
994	40.709903717041016	-74.01534271240234	0009-01-01T21:21:16.000	0009-01-01T20:56:14.000	40.72102355957031	-73.9554443359375	1.0	5.13
